                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5115,                0.94722,                 1.7886,                0.96822,                0.77326,                0.87644,                0.57539,                 1.3674,                 0.8801,                 1.8039,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5184,                0.93053,                 1.8031,                0.92952,                0.87209,                 0.8951,                0.44234,                  1.645,                 1.0352,                  2.115,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3681,                0.88601,                 1.6888,                0.97435,                0.87791,                0.89783,                0.46172,                  1.644,                0.88884,                 2.0732,               0.001307,               0.001307,               0.001307
                     37,                 1.3985,                0.94883,                 1.7459,                0.98904,                0.86047,                  0.895,                0.59979,                  1.184,                0.79775,                 1.7644,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3146,                0.89159,                 1.6992,                0.86785,                0.87815,                0.85458,                0.44038,                 1.5424,                 1.1303,                 1.9342,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3578,                0.85087,                 1.6638,                0.96172,                 0.8765,                 0.9091,                0.59175,                  1.295,                0.73372,                 1.8045,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3869,                0.82859,                 1.6685,                0.94901,                0.86566,                0.90607,                0.59511,                 1.2351,                0.78182,                 1.7361,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.377,                0.80323,                 1.6405,                0.98672,                0.86401,                 0.9115,                0.59505,                 1.3109,                0.74661,                 1.7996,               0.001208,               0.001208,               0.001208
                     42,                 1.2519,                0.77535,                  1.614,                0.97437,                0.88415,                0.91162,                0.56763,                 1.3749,                0.74417,                 1.7873,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.376,                0.83608,                 1.6718,                0.94988,                0.86628,                0.90978,                0.64545,                 1.1009,                0.71891,                 1.6342,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.295,                0.80758,                 1.5985,                0.98042,                0.87318,                0.91543,                0.61762,                 1.1844,                0.74203,                 1.6604,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2338,                0.75619,                 1.5911,                0.96259,                0.87209,                0.91513,                0.66499,                 1.0845,                 0.7183,                 1.6448,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1622,                0.71025,                 1.4953,                0.96814,                0.87791,                0.91542,                 0.5894,                 1.3886,                0.74929,                 1.7988,               0.001109,               0.001109,               0.001109
                     47,                  1.317,                0.78521,                 1.6768,                0.97435,                0.88348,                0.91267,                0.62978,                 1.0477,                0.76567,                 1.6151,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2445,                0.74494,                 1.5377,                0.97247,                0.87791,                0.90987,                0.60092,                 1.2166,                0.82747,                 1.6794,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2711,                0.76452,                 1.5869,                0.99008,                0.88953,                0.91228,                 0.6061,                 1.2337,                0.83066,                 1.6712,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3398,                0.73749,                 1.5628,                0.99351,                0.88954,                0.91657,                0.59941,                 1.2788,                0.73418,                 1.6899,              0.0010298,              0.0010298,              0.0010298
                     51,                  1.275,                0.72428,                 1.5508,                0.99893,                0.90116,                0.92253,                0.60691,                 1.2424,                0.64962,                 1.6576,                0.00101,                0.00101,                0.00101
                     52,                 1.2068,                0.71958,                  1.497,                0.98372,                0.88953,                0.92469,                0.56183,                 1.4316,                0.81798,                 1.7371,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3204,                0.78393,                 1.5857,                 0.9935,                0.88882,                0.92585,                0.53328,                 1.3894,                0.79618,                 1.7239,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2734,                0.73179,                 1.4996,                0.96185,                0.87944,                0.93892,                0.57918,                 1.3756,                0.74346,                 1.6833,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2152,                0.70387,                 1.4336,                0.97724,                0.87209,                0.93278,                  0.625,                   1.25,                0.66088,                 1.5641,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2349,                0.71207,                 1.4699,                0.96831,                0.88816,                0.94348,                0.67559,                 1.0272,                0.79595,                 1.5383,               0.000911,               0.000911,               0.000911
                     57,                 1.2629,                0.74549,                 1.5639,                0.99193,                0.87791,                0.92675,                0.65323,                  1.036,                0.67742,                  1.566,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2979,                0.76644,                 1.5412,                0.96522,                0.89535,                0.93461,                0.59585,                 1.2939,                0.72941,                 1.6132,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1692,                  0.686,                 1.4482,                0.97996,                0.88953,                0.94095,                0.64112,                 1.1542,                0.69349,                  1.597,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2013,                0.70887,                 1.4569,                      1,                0.86978,                0.94223,                0.69992,                 0.9486,                0.60646,                 1.4538,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0744,                0.65546,                 1.4312,                 0.9293,                  0.917,                0.94313,                 0.6593,                 1.0986,                0.65672,                 1.5323,               0.000812,               0.000812,               0.000812
                     62,                 1.1276,                0.65553,                 1.4053,                0.95786,                0.92512,                0.94836,                0.66523,                 1.0025,                0.58593,                 1.4791,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1175,                0.65362,                 1.3859,                0.93852,                0.93023,                0.94844,                0.68864,                 1.0209,                0.57877,                 1.5049,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1143,                0.65707,                 1.4278,                 0.9695,                0.92399,                0.95537,                0.71075,                 0.9089,                0.58239,                 1.4672,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1253,                0.65107,                 1.4083,                0.94998,                0.91279,                0.94904,                0.68405,                0.98053,                0.61677,                 1.5027,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0314,                0.63442,                 1.4005,                0.95169,                0.91629,                0.94498,                0.70175,                0.95267,                0.57657,                 1.4462,               0.000713,               0.000713,               0.000713
                     67,                 1.0791,                0.62617,                 1.4404,                0.98707,                0.88747,                0.94957,                0.67748,                 1.1111,                0.59987,                 1.5023,              0.0006932,              0.0006932,              0.0006932
                     68,                0.99444,                0.61022,                 1.3244,                0.93569,                0.93048,                0.95017,                0.73525,                0.88916,                0.54666,                 1.4262,              0.0006734,              0.0006734,              0.0006734
